"","s1"
"ROBO1",3.3423341787635
"ROBO2",3.56031535027148
"ROBO3",0.37350142739423
"ROR2",1.79248607031377
"ROS1",-0.513848762333288
"RP11366L202",0
"RP11461L132",0
"RP11513D52",0
"RPA1",0
"RPAP1",5.6751345718216
"RPL22",0
"RPS6KA4",-0.209404614883768
"RPS6KA6",0
"RPS6KB2",0.00484234941047117
"RPTOR",0.268423111837735
"RRAGC",0
"RRAS",-0.526744424180787
"RRAS2",-0.413542832857524
"RTEL1",0
"RTEL1TNFRSF6B",0
"RUNX1",0
"RXRA",-0.27554815425238
"RYBP",0
"RYR2",4.79803893573839
"SACS",5.28100057150979
"SBNO1",5.03288293878798
"SDCCAG8",0
"SDHA",0
"SDHAF2",0.835426358702533
"SDHB",0
"SDHC",0
"SDHD",0
"SESN1",0.500584867347982
"SESN2",0
"SESN3",-0.0172109961778526
"SETD2",-0.701699232012703
"SETD8",0
"SETDB1",0
"SF3B1",0.413912050708263
"SH2B3",0
"SH2D1A",-0.645743403409217
"SHOC2",0
"SHQ1",0
"SIRT6",4.96070223541133
"SLC22A23",4.84016369659104
"SLC5A5",3.85735051849705
"SLIT2",0
"SLTM",4.49106975925206
"SLX4",0
"SMAD2",-0.192675568437401
"SMAD3",0
"SMAD4",0.430325449684539
"SMARCA2",0
"SMARCA4",0
"SMARCB1",0
"SMARCD1",0
"SMG1",5.45921345675902
"SMO",0
"SMYD3",0
"SOCS1",0
"SOS1",0
"SOX17",0
"SOX2",-0.276252116374773
"SOX9",0
"SPA17",0
"SPEN",-0.081315913725029
"SPHKAP",0
"SPOP",-1.50872850220738
"SPRED1",0
"SPTA1",3.79859970731603
"SRC",0
"SRCAP",3.71523421449198
"SRP19",0
"SRPK1",0
"SRPK2",0
"SRSF2",0
"ST14",0
"STAC3",0
"STAG2",-0.7979184401226
"STAT3",0
"STAT5A",-0.797730453318789
"STAT5B",0
"STK11",0
"STK19",0
"STK4",0
"STK40",0.422404421850845
"SUFU",0
"SUZ12",0
"SYK",0
"SYNE1",4.40295873314401
"SYT1",0
"TACC1",0
